1420,Affärsutvecklingschef / Affärsutvecklingsdirektör
1500,Administration Import / Export
1501,Brevbärare
1502,Chaufför / Lokförare
1503,Expedition
1504,Hantering Last / Bagage
1505,Inköpare / Supply planner
1506,Kranarbete
1507,Lager Planering / Ledning
1508,Lager Terminal / Truck
1509,Lastbilschaufför
1510,Leverans / Distribution
1511,Logistik Material / Produktion
1512,Logistik / Kontroll
1513,Pilot / Flygledning
1514,Sophantering / Återvinning
1515,Speditör
1516,Säkerhetstransporter
1517,Övrigt: Logistik / Transport
1600,Brand manager
1601,Copywriter
1602,CRM
1603,Eventmarknadsföring
1604,Marknadsanalytiker
1605,Mediarådgivning
1606,Informatör / PR
1607,PPC / SEM / SEO specialist
1608,Produktutveckling
1609,Skyltning / Dekoration
1611,Webbkommunikatör / Webbredaktör
1612,Övrigt: Marknad / Produkt
1613,Marknadsprojektledare
1614,Marknadsundersökare/intervjuare
1700,Bostadsplanerare
1701,Programledning
1702,Projektledare
1703,Projektledning Event / Mässor
1704,Teknisk projektledning
1705,Övrigt: Projektledning
1800,Administration
1801,Bygg & Anläggning
1802,Data / IT
1803,Drift & Underhåll
1804,Ekonomi & Finans
1805,Forskning / R&D / Vetenskap
1806,Försäljning / Affärsutveckling
1807,Hotell / Restaurang / Turism
1808,HR & Personal
1809,Juridik
1810,Kreativitet / Design
1811,Kundsupport & Service
1812,Säkerhet & Kontroll
1813,Ledning / Chefer
1814,Logistik / Transport
1815,Marknadsföring / Produkt
1816,Projektledare
1818,Sjukvård & Hälsa
1819,Skribenter / publishing
1820,Teknik
1821,Industri / Produktion
1822,Lärare / Utbildning
1823,Övrigt: Trainee
1900,Akutsjukvård
1901,Apotekare / Farmaceutisk rådgivare
1902,Hemvård / Personlig assistent
1903,Dietist
1904,Laboratoriearbete
1905,Läkare
1906,Läkarsekreterare
1907,Psykolog
1908,Naprapat / Massör
1909,Omsorgsadministration
1910,Optik
1911,Röntgen
1912,Sjukgymnast
1913,Sjuksköterska
1914,Biståndsbedömare / Biståndshandläggare
1915,Tandläkare
1916,Veterinär / Djurvård
1917,Övrigt: Sjukvård / Hälsa
1918,Apotekschef
1919,Socionom / Socialsekreterare
1920,Terapeut
1921,Undersköterska
1922,Omsorg
2000,Journalistik
2001,Korrektur / redigering
2002,Manuskriptförfattare
2003,Teknisk dokumentatör
2004,Översättare
2005,Övrigt: Skribenter / publishing
2100,Biomedicinsk analytiker
2102,CAD / CAM
2103,El / Elektronik
2104,Elkraftsingenjör
2105,Flyg / luftfart
2106,Kemist
2107,Marinteknik
2108,Mekaniker
2109,Miljö / Geo
2110,Produktionstekniker
2111,Radio / trådlöst / telekom
2112,System- / Processteknik
2113,Övrigt: Teknik
2114,Laboratorieingenjör
2200,Audio / Video Sändning & Produktion
2201,Fabriksledning
2202,Fiske
2203,Formgjutning
2204,Lantbrukare / Växthusodlare
2205,Livsmedelstillverkning
2206,Maskinarbete
2208,Montör
2209,Postarbete
2210,Produktionsledare
2211,Renhållning
2212,Skrädderiarbete
2213,Sophantering / Återvinning
2214,Svarvare / CNC-operatör
2215,Telekommunikation
2216,Tryck / Grafisk produktion
2217,Övrigt: Tillverkning / Produktion
2300,Förskollärare / Barnskötare
2301,Grundskollärare 1-7 / Fritidspedagog
2302,Grundskollärare 4-9
2303,Gymnasielärare
2304,HR Kompetensutveckling
2305,Idrottslärare
2306,Lärarassistans
2307,Skoladministration / Ledning
2308,Specialpedagog / Speciallärare
2309,Säljsupport / Kundutbildning
2310,Universitetsadjunkt
2311,Utbildare - IT
2312,Studie- och yrkesvägledare
2313,Övrigt: Utbildning
2314,Universitetslektor
2400,Arbeta hemifrån
2401,Rekryteringsmässor
2402,Övrigt
2501,Modell / Mannekäng
2502,Skådespelare
2503,Showartist / Dansare
2504,Sång / Musik
2505,Assistent / Funktionär
2506,Publik / Deltagare
2507,Statist
2519,Övrigt: Artister / Underhållning
